Date,URI US Equity,AGCO US Equity,ATKR US Equity,CNHI US Equity ,TEX US Equity,PCAR US Equity,RS US Equity,CMI US Equity,GTES US Equity,KMT US Equity,MMM US Equity,AYI US Equity,CAT US Equity,DE US Equity,FLS US Equity,JCI US Equity,CARR US Equity,DOV US Equity,NVT US Equity,ALLE US Equity,LII US Equity,PH US Equity,GWW US Equity,HUBB US Equity,HON US Equity,IR US Equity,TT US Equity,ETN US Equity,FTV US Equity,OTIS US Equity,EMR US Equity,SWK US Equity,ITW US Equity,FAST US Equity,ROK US Equity,KNX US Equity,WERN US Equity
1/1/2014,14.204,10.294,#N/A N/A,9.509,15.46,16.609,13.742,16.047,#N/A N/A,16.759,19.194,26.853,16.353,10.992,20.943,17.154,#N/A N/A,11.207,#N/A N/A,20.506,19.731,18.78,20.555,18.692,16.403,#N/A N/A,14.01,16.216,#N/A N/A,#N/A N/A,18.483,15.13,19.858,28.146,18.939,16.54,19.976
2/28/2014,14.636,9.531,#N/A N/A,9.943,16.03,18.16,12.512,16.559,#N/A N/A,14.717,18.051,32.05,16.725,10.661,20.627,#N/A N/A,#N/A N/A,12.364,#N/A N/A,23.03,20.247,16.991,20.16,20.504,16.205,#N/A N/A,15.043,15.565,#N/A N/A,#N/A N/A,16.772,15.452,18.498,27.629,18.925,17.045,19.436
3/31/2014,15.549,10.031,#N/A N/A,10.472,15.947,18.464,12.766,16.852,#N/A N/A,14.931,18.195,29.317,17.124,11.278,20.02,#N/A N/A,#N/A N/A,13.747,#N/A N/A,22.153,20.042,16.891,20.048,20.657,15.92,#N/A N/A,14.084,15.598,#N/A N/A,#N/A N/A,17.279,15.128,18.235,28.864,19.188,17.405,19.355
4/30/2014,13.961,10.034,#N/A N/A,13.089,13.933,16.793,12.613,16.004,#N/A N/A,14.868,18.144,27.016,16.746,11.568,18.396,16.57,#N/A N/A,14.129,#N/A N/A,19.875,17.974,16.246,19.509,19.795,15.53,#N/A N/A,13.965,14.693,#N/A N/A,#N/A N/A,17.182,15.316,17.872,28.294,18.019,16.27,18.935
5/31/2014,15.037,9.749,#N/A N/A,11.752,12.807,16.565,12.784,16.176,#N/A N/A,14.075,18.593,27.22,16.183,11.711,18.458,17.642,#N/A N/A,14.256,#N/A N/A,20.79,18.219,15.983,19.817,19.601,15.574,#N/A N/A,13.898,14.911,#N/A N/A,#N/A N/A,16.754,15.596,18.084,27.574,18.279,16.605,19.527
6/30/2014,15.481,10.139,#N/A N/A,10.999,13.737,16.471,13.053,16.31,#N/A N/A,14.463,18.683,28.266,17.203,11.616,18.728,18.427,#N/A N/A,14.858,#N/A N/A,22.501,19.192,16.084,19.528,20.645,15.541,#N/A N/A,14.437,15.589,#N/A N/A,#N/A N/A,16.661,15.665,18.291,27.897,18.889,16.839,19.593
7/31/2014,14.485,10.571,#N/A N/A,11.524,11.194,15.601,11.796,13.908,#N/A N/A,13.094,17.873,23.669,15.555,10.992,18.107,16.599,#N/A N/A,13.584,#N/A N/A,19.14,17.502,14.02,17.747,19.208,15.016,#N/A N/A,12.869,13.619,#N/A N/A,#N/A N/A,15.697,14.727,16.563,24.478,16.584,13.391,17.069
8/31/2014,16.092,10.765,#N/A N/A,12.102,12.146,15.855,12.234,14.483,#N/A N/A,14.572,18.265,27.371,16.853,12.238,18.56,17.271,#N/A N/A,13.913,#N/A N/A,19.133,17.185,14.859,18.598,19.826,15.572,#N/A N/A,13.189,14.046,#N/A N/A,#N/A N/A,15.961,15.401,17.759,25.1,17.317,13.869,17.328
9/30/2014,15.19,10.02,#N/A N/A,10.981,11.346,14.373,11.854,13.244,#N/A N/A,13.443,17.989,25.114,15.301,11.933,17.306,17.252,#N/A N/A,12.845,#N/A N/A,17.971,15.882,14.693,19.007,19.765,15.235,#N/A N/A,12.362,12.735,#N/A N/A,#N/A N/A,15.633,14.913,16.996,24.752,16.332,13.732,17.403
10/31/2014,14.047,13.718,#N/A N/A,12.933,10.238,15.481,12.482,13.95,#N/A N/A,13.191,19.13,28.426,15.127,13.04,16.858,15.983,#N/A N/A,12.49,#N/A N/A,18.364,17.113,15.638,18.53,19.949,15.426,#N/A N/A,13.233,13.966,#N/A N/A,#N/A N/A,15.888,15.62,17.863,23.601,16.532,15.281,18.811
